feature,importance,rank,selected
n10FaHRing,0.0,719,False
n5FARing,0.0,719,False
n6ARing,0.0,607,False
n6AHRing,0.0,719,False
n8aHRing,0.0,719,False
n5aHRing,0.0,312,False
n5Ring,0.0,549,False
n8aRing,0.0,719,False
n9AHRing,0.0,719,False
n5FaRing,0.0,719,False
n5FaHRing,0.0,719,False
n5FRing,0.0,719,False
n5FHRing,0.0,719,False
n5FAHRing,0.0,719,False
n10FaRing,0.0,588,False
n9ARing,0.0,719,False
n5AHRing,0.0,510,False
n4aRing,0.0,719,False
n4aHRing,0.0,719,False
n4Ring,0.0,719,False
n4HRing,0.0,719,False
n4FaRing,0.0,719,False
n4FaHRing,0.0,719,False
n4FRing,0.0,719,False
n4FHRing,0.0,719,False
n4FARing,0.0,719,False
n6FAHRing,0.0,719,False
n6FARing,0.0,719,False
n6FHRing,0.0,719,False
n6FRing,0.0,719,False
n8FAHRing,0.0,719,False
n8FARing,0.0,719,False
n7aRing,0.0,47,False
n7aHRing,0.0,719,False
n8FHRing,0.0,719,False
n7HRing,0.0,719,False
n7FaRing,0.0,719,False
n8FRing,0.0,719,False
n7FaHRing,0.0,719,False
n8FaHRing,0.0,719,False
n7FRing,0.0,719,False
n7FHRing,0.0,719,False
n7FARing,0.0,719,False
n7FAHRing,0.0,719,False
n7ARing,0.0,607,False
n7AHRing,0.0,607,False
n6aRing,0.0,451,False
n8FaRing,0.0,719,False
n6Ring,0.0,519,False
n8HRing,0.0,719,False
n6FaRing,0.0,719,False
n8Ring,0.0,719,False
n6FaHRing,0.0,719,False
n4FAHRing,0.0,719,False
n4ARing,0.0,719,False
n4AHRing,0.0,719,False
n9aHRing,0.0,719,False
n11aRing,0.0,719,False
nAHRing,0.0,497,False
n11aHRing,0.0,719,False
nARing,0.0,327,False
nAromBond,0.0,253,False
nB,0.0,719,False
n11Ring,0.0,719,False
nBonds,0.0,481,False
n11HRing,0.0,719,False
n11FaRing,0.0,719,False
n11FaHRing,0.0,719,False
nBondsA,0.0,278,False
n11FHRing,0.0,442,False
n11FARing,0.0,541,False
n11FAHRing,0.0,407,False
n11ARing,0.0,719,False
n11AHRing,0.0,719,False
nBondsKS,0.0,172,False
n10aRing,0.0,719,False
n10aHRing,0.0,719,False
n8AHRing,0.0,719,False
n10Ring,0.0,719,False
n10HRing,0.0,719,False
n9aRing,0.0,719,False
n12AHRing,0.0,719,False
n3aRing,0.0,719,False
n12ARing,0.0,719,False
n3aHRing,0.0,719,False
n3Ring,0.0,719,False
n3HRing,0.0,719,False
n3ARing,0.0,595,False
n3AHRing,0.0,573,False
n12aRing,0.0,719,False
n12aHRing,0.0,719,False
n12Ring,0.0,719,False
n12HRing,0.0,719,False
n12FaRing,0.0,719,False
n12FaHRing,0.0,719,False
AATS2are,0.0,160,False
n9FARing,0.0,489,False
n9FHRing,0.0,607,False
n9FRing,0.0,719,False
n9FaHRing,0.0,719,False
n12FRing,0.0,719,False
n9FaRing,0.0,719,False
n9HRing,0.0,719,False
n12FHRing,0.0,719,False
WPol,0.0,557,False
n12FARing,0.0,719,False
n12FAHRing,0.0,719,False
n9Ring,0.0,719,False
ATS6pe,0.0,412,False
VAdjMat,0.0,562,False
MWC05,0.0,536,False
NaaO,0.0,599,False
NaaN,0.0,551,False
NaaCH,0.0,444,False
ATS1Z,0.0,284,False
Mpe,0.0,341,False
ATS1d,0.0,559,False
Mare,0.0,143,False
MZ,0.0,394,False
MWC10,0.0,533,False
MWC08,0.0,499,False
MWC07,0.0,539,False
MWC06,0.0,573,False
MWC04,0.0,560,False
MATS2v,0.0,424,False
MWC03,0.0,561,False
MWC02,0.0,579,False
MWC01,0.0,559,False
MW,0.0,452,False
MPC9,0.0,492,False
MPC6,0.0,529,False
MPC5,0.0,456,False
MPC3,0.0,573,False
MPC2,0.0,555,False
MPC10,0.0,361,False
MIC5,0.0,279,False
MIC2,0.0,364,False
NaaS,0.0,507,False
NaaSe,0.0,719,False
NaasN,0.0,372,False
NdCH2,0.0,180,False
NsSiH3,0.0,719,False
NsSeH,0.0,719,False
NsSH,0.0,719,False
NsPbH3,0.0,719,False
NsPH2,0.0,719,False
NsOH,0.0,573,False
NsNH3,0.0,719,False
NsLi,0.0,719,False
NsI,0.0,719,False
ATS0pe,0.0,472,False
NsF,0.0,588,False
NsCl,0.0,719,False
NsCH3,0.0,246,False
NsBr,0.0,719,False
NsAsH2,0.0,719,False
NdsssP,0.0,573,False
NdssSe,0.0,719,False
NdssS,0.0,719,False
ATS0se,0.0,511,False
NddssSe,0.0,719,False
NddssS,0.0,599,False
NddsN,0.0,588,False
NddC,0.0,719,False
NdSe,0.0,719,False
NdNH,0.0,719,False
MIC1,0.0,415,False
ATS1i,0.0,401,False
NssAsH,0.0,719,False
ATSC0Z,0.0,438,False
ATSC6are,0.0,346,False
ATSC4pe,0.0,89,False
ATSC4m,0.0,112,False
ATS5Z,0.0,346,False
ATS5are,0.0,501,False
ATS5d,0.0,459,False
ATSC2v,0.0,44,False
ATS5pe,0.0,455,False
ATS5v,0.0,300,False
ATSC0m,0.0,382,False
ATS6d,0.0,512,False
ATSC0dv,0.0,416,False
ATS8v,0.0,139,False
ATS1p,0.0,316,False
ATS8pe,0.0,248,False
ATS8p,0.0,85,False
ATS8dv,0.0,322,False
ATS8are,0.0,326,False
ATS8Z,0.0,148,False
ATS7v,0.0,331,False
ATS7se,0.0,374,False
ATS7pe,0.0,455,False
ATS7d,0.0,510,False
ATS7are,0.0,465,False
ATS6v,0.0,33,False
ATS6se,0.0,352,False
ATSC6m,0.0,467,False
ATS4m,0.0,337,False
ATSC8se,0.0,418,False
ATS4dv,0.0,282,False
MATS2are,0.0,99,False
MATS1v,0.0,387,False
ATS1pe,0.0,573,False
ATS1se,0.0,531,False
ATS2are,0.0,439,False
Lipinski,0.0,579,False
ATS2d,0.0,390,False
JGI7,0.0,420,False
JGI3,0.0,208,False
IC2,0.0,197,False
IC1,0.0,93,False
GhoseFilter,0.0,719,False
GGI7,0.0,232,False
ATS2pe,0.0,421,False
ATS2se,0.0,514,False
ATS2v,0.0,326,False
EState_VSA3,0.0,427,False
EState_VSA1,0.0,175,False
ATS3pe,0.0,191,False
CIC4,0.0,399,False
ATS3v,0.0,225,False
ATS4Z,0.0,468,False
C3SP3,0.0,478,False
C2SP1,0.0,461,False
C1SP1,0.0,719,False
NsSnH3,0.0,719,False
NssBH,0.0,719,False
TpiPC10,0.0,410,False
SsLi,0.0,719,False
SssNH2,0.0,719,False
SssGeH2,0.0,719,False
SssBe,0.0,719,False
SssBH,0.0,719,False
SssAsH,0.0,719,False
SsSnH3,0.0,719,False
SsSiH3,0.0,719,False
SsSeH,0.0,719,False
SsSH,0.0,719,False
SsPbH3,0.0,719,False
SsPH2,0.0,719,False
SsNH3,0.0,719,False
SsI,0.0,719,False
SdSe,0.0,719,False
SsGeH3,0.0,719,False
SsF,0.0,527,False
SsCl,0.0,719,False
SsBr,0.0,719,False
